,hyperlink
1030,https://github.com/
1031,https://github.com/00xc/xml-rs/commit/0f084d45aa53e4a27476961785f59f2bd7d59a9f
1032,https://github.com/0branch/boron/issues/3
1033,https://github.com/0x1717/ssrf-via-img
1034,https://github.com/0x404Ming/CVE_Hunter/blob/main/SQLi-3.md
1035,https://github.com/0x72303074/CVE-Disclosures
1036,https://github.com/0x727/ShuiZe_0x727
1037,https://github.com/0x727/ShuiZe_0x727/issues/160
1038,https://github.com/0xAlmighty/Vulnerability-Research/blob/main/SourceCodester/CLMS/SourceCodester-CLMS-SQLi.md
1039,https://github.com/0xbunniee/MailCow-Pixel-Flood-Attack
1040,https://github.com/0xf4n9x/CVE-2022-24990
1041,https://github.com/0xfml/poc/blob/main/PLANET/WDRT-1800AX.md
1042,https://github.com/0xhebi/CVEs/tree/main/GNU%20Libmicrohttpd
1043,https://github.com/0xInfection/EPScalate
1044,https://github.com/0xJacky/nginx-ui/blob/04bf8ec487f06ab17a9fb7f34a28766e5f53885e/api/system/settings.go#L18
1045,https://github.com/0xJacky/nginx-ui/blob/04bf8ec487f06ab17a9fb7f34a28766e5f53885e/api/terminal/pty.go#L11
1046,https://github.com/0xJacky/nginx-ui/blob/04bf8ec487f06ab17a9fb7f34a28766e5f53885e/internal/pty/pipeline.go#L29
1047,https://github.com/0xJacky/nginx-ui/blob/04bf8ec487f06ab17a9fb7f34a28766e5f53885e/router/middleware.go#L45
1048,https://github.com/0xJacky/nginx-ui/blob/04bf8ec487f06ab17a9fb7f34a28766e5f53885e/settings/server.go#L12
1049,https://github.com/0xJacky/nginx-ui/commit/827e76c46e63c52114a62a899f61313039c754e3
1050,https://github.com/0xJacky/nginx-ui/commit/ec93ab05a3ecbb6bcf464d9dca48d74452df8a5b
1051,https://github.com/0xJacky/nginx-ui/security/advisories/GHSA-8r25-68wm-jw35
1052,https://github.com/0xJacky/nginx-ui/security/advisories/GHSA-h374-mm57-879c
1053,https://github.com/0xJacky/nginx-ui/security/advisories/GHSA-pxmr-q2x3-9x9m
1054,https://github.com/0xJacky/nginx-ui/security/advisories/GHSA-qcjq-7f7v-pvc8
1055,https://github.com/0xJacky/nginx-ui/security/advisories/GHSA-xvq9-4vpv-227m
1056,https://github.com/0xQRx/VulnerabilityResearch/blob/master/2024/DailyHabitTracker-SQL_Injection.md
